#,Trap,Insect,Week Number,Year,Total,Trap Operating Days
102,Rothamsted,Rhopalosiphum padi,34,1993,22,365
103,Rothamsted,Rhopalosiphum padi,35,1993,124,365
104,Rothamsted,Rhopalosiphum padi,36,1993,12,365
105,Rothamsted,Rhopalosiphum padi,37,1993,30,365
106,Rothamsted,Rhopalosiphum padi,38,1993,58,365
107,Rothamsted,Rhopalosiphum padi,39,1993,64,365
108,Rothamsted,Rhopalosiphum padi,40,1993,60,365
109,Rothamsted,Rhopalosiphum padi,41,1993,62,365
110,Rothamsted,Rhopalosiphum padi,42,1993,9,365
111,Rothamsted,Rhopalosiphum padi,43,1993,13,365
112,Rothamsted,Rhopalosiphum padi,44,1993,21,365
113,Rothamsted,Rhopalosiphum padi,18,1994,1,365
114,Rothamsted,Rhopalosiphum padi,19,1994,4,365
115,Rothamsted,Rhopalosiphum padi,22,1994,1,365
116,Rothamsted,Rhopalosiphum padi,23,1994,4,365
117,Rothamsted,Rhopalosiphum padi,24,1994,3,365
118,Rothamsted,Rhopalosiphum padi,25,1994,41,365
119,Rothamsted,Rhopalosiphum padi,26,1994,275,365
120,Rothamsted,Rhopalosiphum padi,27,1994,125,365
121,Rothamsted,Rhopalosiphum padi,28,1994,1084,365
122,Rothamsted,Rhopalosiphum padi,29,1994,580,365
123,Rothamsted,Rhopalosiphum padi,30,1994,94,365
124,Rothamsted,Rhopalosiphum padi,31,1994,14,365
125,Rothamsted,Rhopalosiphum padi,32,1994,2,365
126,Rothamsted,Rhopalosiphum padi,33,1994,1,365
127,Rothamsted,Rhopalosiphum padi,34,1994,2,365
128,Rothamsted,Rhopalosiphum padi,35,1994,1,365
129,Rothamsted,Rhopalosiphum padi,36,1994,3,365
130,Rothamsted,Rhopalosiphum padi,37,1994,12,365
131,Rothamsted,Rhopalosiphum padi,38,1994,189,365
132,Rothamsted,Rhopalosiphum padi,39,1994,467,365
133,Rothamsted,Rhopalosiphum padi,40,1994,443,365
134,Rothamsted,Rhopalosiphum padi,41,1994,453,365
135,Rothamsted,Rhopalosiphum padi,42,1994,397,365
136,Rothamsted,Rhopalosiphum padi,43,1994,39,365
137,Rothamsted,Rhopalosiphum padi,44,1994,97,365
138,Rothamsted,Rhopalosiphum padi,45,1994,25,365
139,Rothamsted,Rhopalosiphum padi,46,1994,13,365
140,Rothamsted,Rhopalosiphum padi,47,1994,5,365
141,Rothamsted,Rhopalosiphum padi,48,1994,1,365
142,Rothamsted,Rhopalosiphum padi,15,1995,1,365
143,Rothamsted,Rhopalosiphum padi,16,1995,1,365
144,Rothamsted,Rhopalosiphum padi,17,1995,3,365
145,Rothamsted,Rhopalosiphum padi,18,1995,48,365
146,Rothamsted,Rhopalosiphum padi,20,1995,9,365
147,Rothamsted,Rhopalosiphum padi,21,1995,83,365
148,Rothamsted,Rhopalosiphum padi,22,1995,61,365
149,Rothamsted,Rhopalosiphum padi,23,1995,34,365
150,Rothamsted,Rhopalosiphum padi,24,1995,39,365
151,Rothamsted,Rhopalosiphum padi,25,1995,46,365
152,Rothamsted,Rhopalosiphum padi,26,1995,86,365
153,Rothamsted,Rhopalosiphum padi,27,1995,100,365
154,Rothamsted,Rhopalosiphum padi,28,1995,36,365
155,Rothamsted,Rhopalosiphum padi,29,1995,20,365
156,Rothamsted,Rhopalosiphum padi,30,1995,8,365
157,Rothamsted,Rhopalosiphum padi,31,1995,46,365
158,Rothamsted,Rhopalosiphum padi,32,1995,11,365
159,Rothamsted,Rhopalosiphum padi,33,1995,18,365
160,Rothamsted,Rhopalosiphum padi,34,1995,2,365
161,Rothamsted,Rhopalosiphum padi,37,1995,2,365
162,Rothamsted,Rhopalosiphum padi,38,1995,13,365
163,Rothamsted,Rhopalosiphum padi,39,1995,2,365
164,Rothamsted,Rhopalosiphum padi,40,1995,11,365
165,Rothamsted,Rhopalosiphum padi,41,1995,84,365
166,Rothamsted,Rhopalosiphum padi,42,1995,20,365
167,Rothamsted,Rhopalosiphum padi,43,1995,23,365
168,Rothamsted,Rhopalosiphum padi,44,1995,5,365
169,Rothamsted,Rhopalosiphum padi,45,1995,5,365
170,Rothamsted,Rhopalosiphum padi,46,1995,1,365
171,Rothamsted,Rhopalosiphum padi,47,1995,1,365
172,Rothamsted,Rhopalosiphum padi,48,1995,1,365
173,Rothamsted,Rhopalosiphum padi,22,1996,1,366
174,Rothamsted,Rhopalosiphum padi,23,1996,4,366
175,Rothamsted,Rhopalosiphum padi,28,1996,2,366
176,Rothamsted,Rhopalosiphum padi,29,1996,269,366
177,Rothamsted,Rhopalosiphum padi,30,1996,79,366
178,Rothamsted,Rhopalosiphum padi,31,1996,32,366
179,Rothamsted,Rhopalosiphum padi,32,1996,118,366
180,Rothamsted,Rhopalosiphum padi,33,1996,44,366
181,Rothamsted,Rhopalosiphum padi,34,1996,14,366
182,Rothamsted,Rhopalosiphum padi,35,1996,20,366
183,Rothamsted,Rhopalosiphum padi,36,1996,4,366
184,Rothamsted,Rhopalosiphum padi,37,1996,13,366
185,Rothamsted,Rhopalosiphum padi,38,1996,5,366
186,Rothamsted,Rhopalosiphum padi,39,1996,86,366
187,Rothamsted,Rhopalosiphum padi,40,1996,200,366
188,Rothamsted,Rhopalosiphum padi,41,1996,564,366
189,Rothamsted,Rhopalosiphum padi,42,1996,292,366
190,Rothamsted,Rhopalosiphum padi,43,1996,374,366
191,Rothamsted,Rhopalosiphum padi,44,1996,36,366
192,Rothamsted,Rhopalosiphum padi,45,1996,9,366
193,Rothamsted,Rhopalosiphum padi,46,1996,3,366
194,Rothamsted,Rhopalosiphum padi,16,1997,1,365
195,Rothamsted,Rhopalosiphum padi,17,1997,5,365
196,Rothamsted,Rhopalosiphum padi,19,1997,3,365
197,Rothamsted,Rhopalosiphum padi,20,1997,9,365
198,Rothamsted,Rhopalosiphum padi,21,1997,1,365
199,Rothamsted,Rhopalosiphum padi,22,1997,2,365
200,Rothamsted,Rhopalosiphum padi,23,1997,5,365
201,Rothamsted,Rhopalosiphum padi,24,1997,2,365
202,Rothamsted,Rhopalosiphum padi,25,1997,12,365
203,Rothamsted,Rhopalosiphum padi,26,1997,16,365
204,Rothamsted,Rhopalosiphum padi,27,1997,272,365
205,Rothamsted,Rhopalosiphum padi,28,1997,470,365
206,Rothamsted,Rhopalosiphum padi,29,1997,1078,365
207,Rothamsted,Rhopalosiphum padi,30,1997,64,365
208,Rothamsted,Rhopalosiphum padi,31,1997,76,365
209,Rothamsted,Rhopalosiphum padi,32,1997,38,365
210,Rothamsted,Rhopalosiphum padi,33,1997,16,365
211,Rothamsted,Rhopalosiphum padi,34,1997,3,365
212,Rothamsted,Rhopalosiphum padi,35,1997,6,365
213,Rothamsted,Rhopalosiphum padi,36,1997,13,365
214,Rothamsted,Rhopalosiphum padi,37,1997,31,365
215,Rothamsted,Rhopalosiphum padi,38,1997,133,365
216,Rothamsted,Rhopalosiphum padi,39,1997,573,365
217,Rothamsted,Rhopalosiphum padi,40,1997,472,365
218,Rothamsted,Rhopalosiphum padi,41,1997,890,365
219,Rothamsted,Rhopalosiphum padi,42,1997,211,365
220,Rothamsted,Rhopalosiphum padi,43,1997,221,365
221,Rothamsted,Rhopalosiphum padi,44,1997,68,365
222,Rothamsted,Rhopalosiphum padi,45,1997,20,365
223,Rothamsted,Rhopalosiphum padi,46,1997,7,365
224,Rothamsted,Rhopalosiphum padi,47,1997,2,365
225,Rothamsted,Rhopalosiphum padi,15,1998,1,365
226,Rothamsted,Rhopalosiphum padi,17,1998,1,365
227,Rothamsted,Rhopalosiphum padi,18,1998,5,365
228,Rothamsted,Rhopalosiphum padi,19,1998,20,365
229,Rothamsted,Rhopalosiphum padi,20,1998,16,365
230,Rothamsted,Rhopalosiphum padi,21,1998,18,365
231,Rothamsted,Rhopalosiphum padi,22,1998,5,365
232,Rothamsted,Rhopalosiphum padi,23,1998,3,365
233,Rothamsted,Rhopalosiphum padi,24,1998,6,365
234,Rothamsted,Rhopalosiphum padi,25,1998,7,365
235,Rothamsted,Rhopalosiphum padi,26,1998,15,365
236,Rothamsted,Rhopalosiphum padi,27,1998,25,365
237,Rothamsted,Rhopalosiphum padi,28,1998,64,365
238,Rothamsted,Rhopalosiphum padi,29,1998,62,365
239,Rothamsted,Rhopalosiphum padi,30,1998,63,365
240,Rothamsted,Rhopalosiphum padi,31,1998,46,365
241,Rothamsted,Rhopalosiphum padi,32,1998,52,365
242,Rothamsted,Rhopalosiphum padi,33,1998,57,365
243,Rothamsted,Rhopalosiphum padi,34,1998,35,365
244,Rothamsted,Rhopalosiphum padi,35,1998,22,365
245,Rothamsted,Rhopalosiphum padi,36,1998,4,365
246,Rothamsted,Rhopalosiphum padi,37,1998,70,365
247,Rothamsted,Rhopalosiphum padi,38,1998,375,365
248,Rothamsted,Rhopalosiphum padi,39,1998,269,365
249,Rothamsted,Rhopalosiphum padi,40,1998,51,365
250,Rothamsted,Rhopalosiphum padi,41,1998,36,365
251,Rothamsted,Rhopalosiphum padi,42,1998,34,365
252,Rothamsted,Rhopalosiphum padi,43,1998,3,365
253,Rothamsted,Rhopalosiphum padi,44,1998,8,365
254,Rothamsted,Rhopalosiphum padi,45,1998,1,365
255,Rothamsted,Rhopalosiphum padi,17,1999,2,365
256,Rothamsted,Rhopalosiphum padi,20,1999,3,365
257,Rothamsted,Rhopalosiphum padi,21,1999,5,365
258,Rothamsted,Rhopalosiphum padi,22,1999,6,365
259,Rothamsted,Rhopalosiphum padi,23,1999,2,365
260,Rothamsted,Rhopalosiphum padi,24,1999,2,365
261,Rothamsted,Rhopalosiphum padi,25,1999,19,365
262,Rothamsted,Rhopalosiphum padi,26,1999,10,365
263,Rothamsted,Rhopalosiphum padi,27,1999,83,365
264,Rothamsted,Rhopalosiphum padi,28,1999,122,365
265,Rothamsted,Rhopalosiphum padi,29,1999,32,365
266,Rothamsted,Rhopalosiphum padi,30,1999,52,365
267,Rothamsted,Rhopalosiphum padi,31,1999,33,365
268,Rothamsted,Rhopalosiphum padi,32,1999,8,365
269,Rothamsted,Rhopalosiphum padi,33,1999,5,365
270,Rothamsted,Rhopalosiphum padi,34,1999,16,365
271,Rothamsted,Rhopalosiphum padi,35,1999,59,365
272,Rothamsted,Rhopalosiphum padi,36,1999,131,365
273,Rothamsted,Rhopalosiphum padi,37,1999,202,365
274,Rothamsted,Rhopalosiphum padi,38,1999,313,365
275,Rothamsted,Rhopalosiphum padi,39,1999,59,365
276,Rothamsted,Rhopalosiphum padi,40,1999,128,365
277,Rothamsted,Rhopalosiphum padi,41,1999,326,365
278,Rothamsted,Rhopalosiphum padi,42,1999,41,365
279,Rothamsted,Rhopalosiphum padi,43,1999,74,365
280,Rothamsted,Rhopalosiphum padi,44,1999,12,365
281,Rothamsted,Rhopalosiphum padi,45,1999,11,365
282,Rothamsted,Rhopalosiphum padi,46,1999,1,365
283,Rothamsted,Rhopalosiphum padi,18,2000,3,366
284,Rothamsted,Rhopalosiphum padi,19,2000,30,366
285,Rothamsted,Rhopalosiphum padi,20,2000,5,366
286,Rothamsted,Rhopalosiphum padi,21,2000,1,366
287,Rothamsted,Rhopalosiphum padi,22,2000,9,366
288,Rothamsted,Rhopalosiphum padi,23,2000,4,366
289,Rothamsted,Rhopalosiphum padi,24,2000,21,366
290,Rothamsted,Rhopalosiphum padi,25,2000,5,366
291,Rothamsted,Rhopalosiphum padi,26,2000,20,366
292,Rothamsted,Rhopalosiphum padi,27,2000,43,366
293,Rothamsted,Rhopalosiphum padi,28,2000,14,366
294,Rothamsted,Rhopalosiphum padi,29,2000,58,366
295,Rothamsted,Rhopalosiphum padi,30,2000,76,366
296,Rothamsted,Rhopalosiphum padi,31,2000,53,366
297,Rothamsted,Rhopalosiphum padi,32,2000,56,366
298,Rothamsted,Rhopalosiphum padi,33,2000,83,366
299,Rothamsted,Rhopalosiphum padi,34,2000,47,366
300,Rothamsted,Rhopalosiphum padi,35,2000,28,366
301,Rothamsted,Rhopalosiphum padi,36,2000,28,366
302,Rothamsted,Rhopalosiphum padi,37,2000,101,366
303,Rothamsted,Rhopalosiphum padi,38,2000,125,366
304,Rothamsted,Rhopalosiphum padi,39,2000,156,366
305,Rothamsted,Rhopalosiphum padi,40,2000,59,366
306,Rothamsted,Rhopalosiphum padi,41,2000,97,366
307,Rothamsted,Rhopalosiphum padi,42,2000,205,366
308,Rothamsted,Rhopalosiphum padi,43,2000,9,366
309,Rothamsted,Rhopalosiphum padi,44,2000,8,366
310,Rothamsted,Rhopalosiphum padi,45,2000,4,366
311,Rothamsted,Rhopalosiphum padi,46,2000,3,366
312,Rothamsted,Rhopalosiphum padi,19,2001,2,365
313,Rothamsted,Rhopalosiphum padi,21,2001,1,365
314,Rothamsted,Rhopalosiphum padi,22,2001,3,365
315,Rothamsted,Rhopalosiphum padi,24,2001,1,365
316,Rothamsted,Rhopalosiphum padi,25,2001,25,365
317,Rothamsted,Rhopalosiphum padi,26,2001,19,365
318,Rothamsted,Rhopalosiphum padi,27,2001,205,365
319,Rothamsted,Rhopalosiphum padi,28,2001,16,365
320,Rothamsted,Rhopalosiphum padi,29,2001,39,365
321,Rothamsted,Rhopalosiphum padi,30,2001,69,365
322,Rothamsted,Rhopalosiphum padi,31,2001,21,365
323,Rothamsted,Rhopalosiphum padi,32,2001,8,365
324,Rothamsted,Rhopalosiphum padi,33,2001,11,365
325,Rothamsted,Rhopalosiphum padi,34,2001,58,365
326,Rothamsted,Rhopalosiphum padi,35,2001,40,365
327,Rothamsted,Rhopalosiphum padi,36,2001,20,365
328,Rothamsted,Rhopalosiphum padi,37,2001,25,365
329,Rothamsted,Rhopalosiphum padi,38,2001,44,365
330,Rothamsted,Rhopalosiphum padi,39,2001,360,365
331,Rothamsted,Rhopalosiphum padi,40,2001,187,365
332,Rothamsted,Rhopalosiphum padi,41,2001,464,365
333,Rothamsted,Rhopalosiphum padi,42,2001,300,365
334,Rothamsted,Rhopalosiphum padi,43,2001,130,365
335,Rothamsted,Rhopalosiphum padi,44,2001,11,365
336,Rothamsted,Rhopalosiphum padi,45,2001,2,365
337,Rothamsted,Rhopalosiphum padi,46,2001,2,365
338,Rothamsted,Rhopalosiphum padi,48,2001,2,365
339,Rothamsted,Rhopalosiphum padi,13,2002,1,365
340,Rothamsted,Rhopalosiphum padi,15,2002,2,365
341,Rothamsted,Rhopalosiphum padi,17,2002,2,365
342,Rothamsted,Rhopalosiphum padi,18,2002,8,365
343,Rothamsted,Rhopalosiphum padi,19,2002,18,365
344,Rothamsted,Rhopalosiphum padi,20,2002,14,365
345,Rothamsted,Rhopalosiphum padi,21,2002,36,365
346,Rothamsted,Rhopalosiphum padi,22,2002,27,365
347,Rothamsted,Rhopalosiphum padi,23,2002,10,365
348,Rothamsted,Rhopalosiphum padi,24,2002,14,365
349,Rothamsted,Rhopalosiphum padi,25,2002,11,365
350,Rothamsted,Rhopalosiphum padi,26,2002,11,365
351,Rothamsted,Rhopalosiphum padi,27,2002,19,365
352,Rothamsted,Rhopalosiphum padi,28,2002,31,365
353,Rothamsted,Rhopalosiphum padi,29,2002,50,365
354,Rothamsted,Rhopalosiphum padi,30,2002,81,365
355,Rothamsted,Rhopalosiphum padi,31,2002,59,365
356,Rothamsted,Rhopalosiphum padi,32,2002,39,365
357,Rothamsted,Rhopalosiphum padi,33,2002,64,365
358,Rothamsted,Rhopalosiphum padi,34,2002,30,365
359,Rothamsted,Rhopalosiphum padi,35,2002,19,365
360,Rothamsted,Rhopalosiphum padi,36,2002,19,365
361,Rothamsted,Rhopalosiphum padi,37,2002,34,365
362,Rothamsted,Rhopalosiphum padi,38,2002,158,365
363,Rothamsted,Rhopalosiphum padi,39,2002,223,365
364,Rothamsted,Rhopalosiphum padi,40,2002,128,365
365,Rothamsted,Rhopalosiphum padi,41,2002,42,365
366,Rothamsted,Rhopalosiphum padi,42,2002,111,365
367,Rothamsted,Rhopalosiphum padi,43,2002,49,365
368,Rothamsted,Rhopalosiphum padi,44,2002,22,365
369,Rothamsted,Rhopalosiphum padi,45,2002,2,365
370,Rothamsted,Rhopalosiphum padi,19,2003,2,365
371,Rothamsted,Rhopalosiphum padi,21,2003,8,365
372,Rothamsted,Rhopalosiphum padi,22,2003,7,365
373,Rothamsted,Rhopalosiphum padi,23,2003,4,365
374,Rothamsted,Rhopalosiphum padi,24,2003,6,365
375,Rothamsted,Rhopalosiphum padi,25,2003,8,365
376,Rothamsted,Rhopalosiphum padi,26,2003,6,365
377,Rothamsted,Rhopalosiphum padi,27,2003,20,365
378,Rothamsted,Rhopalosiphum padi,28,2003,684,365
379,Rothamsted,Rhopalosiphum padi,29,2003,8,365
380,Rothamsted,Rhopalosiphum padi,30,2003,7,365
381,Rothamsted,Rhopalosiphum padi,31,2003,12,365
382,Rothamsted,Rhopalosiphum padi,32,2003,7,365
383,Rothamsted,Rhopalosiphum padi,33,2003,6,365
384,Rothamsted,Rhopalosiphum padi,34,2003,7,365
385,Rothamsted,Rhopalosiphum padi,35,2003,10,365
386,Rothamsted,Rhopalosiphum padi,36,2003,8,365
387,Rothamsted,Rhopalosiphum padi,37,2003,38,365
388,Rothamsted,Rhopalosiphum padi,38,2003,55,365
389,Rothamsted,Rhopalosiphum padi,39,2003,128,365
390,Rothamsted,Rhopalosiphum padi,40,2003,40,365
391,Rothamsted,Rhopalosiphum padi,41,2003,17,365
392,Rothamsted,Rhopalosiphum padi,42,2003,6,365
393,Rothamsted,Rhopalosiphum padi,43,2003,33,365
394,Rothamsted,Rhopalosiphum padi,44,2003,22,365
395,Rothamsted,Rhopalosiphum padi,45,2003,24,365
396,Rothamsted,Rhopalosiphum padi,46,2003,6,365
397,Rothamsted,Rhopalosiphum padi,47,2003,2,365
398,Rothamsted,Rhopalosiphum padi,48,2003,1,365
399,Rothamsted,Rhopalosiphum padi,16,2004,2,366
400,Rothamsted,Rhopalosiphum padi,17,2004,2,366
401,Rothamsted,Rhopalosiphum padi,19,2004,3,366
402,Rothamsted,Rhopalosiphum padi,20,2004,3,366
403,Rothamsted,Rhopalosiphum padi,21,2004,10,366
404,Rothamsted,Rhopalosiphum padi,22,2004,8,366
405,Rothamsted,Rhopalosiphum padi,23,2004,13,366
406,Rothamsted,Rhopalosiphum padi,24,2004,10,366
407,Rothamsted,Rhopalosiphum padi,25,2004,35,366
408,Rothamsted,Rhopalosiphum padi,26,2004,99,366
409,Rothamsted,Rhopalosiphum padi,27,2004,670,366
410,Rothamsted,Rhopalosiphum padi,28,2004,552,366
411,Rothamsted,Rhopalosiphum padi,29,2004,132,366
412,Rothamsted,Rhopalosiphum padi,30,2004,84,366
413,Rothamsted,Rhopalosiphum padi,31,2004,12,366
414,Rothamsted,Rhopalosiphum padi,34,2004,4,366
415,Rothamsted,Rhopalosiphum padi,35,2004,12,366
416,Rothamsted,Rhopalosiphum padi,36,2004,10,366
417,Rothamsted,Rhopalosiphum padi,37,2004,40,366
418,Rothamsted,Rhopalosiphum padi,38,2004,118,366
419,Rothamsted,Rhopalosiphum padi,39,2004,738,366
420,Rothamsted,Rhopalosiphum padi,40,2004,274,366
421,Rothamsted,Rhopalosiphum padi,41,2004,474,366
422,Rothamsted,Rhopalosiphum padi,42,2004,184,366
423,Rothamsted,Rhopalosiphum padi,43,2004,82,366
424,Rothamsted,Rhopalosiphum padi,44,2004,63,366
425,Rothamsted,Rhopalosiphum padi,45,2004,18,366
426,Rothamsted,Rhopalosiphum padi,46,2004,2,366
427,Rothamsted,Rhopalosiphum padi,48,2004,3,366
428,Rothamsted,Rhopalosiphum padi,49,2004,1,366
429,Rothamsted,Rhopalosiphum padi,17,2005,2,365
430,Rothamsted,Rhopalosiphum padi,19,2005,1,365
431,Rothamsted,Rhopalosiphum padi,20,2005,4,365
432,Rothamsted,Rhopalosiphum padi,21,2005,6,365
433,Rothamsted,Rhopalosiphum padi,22,2005,2,365
434,Rothamsted,Rhopalosiphum padi,23,2005,8,365
435,Rothamsted,Rhopalosiphum padi,24,2005,13,365
436,Rothamsted,Rhopalosiphum padi,25,2005,6,365
437,Rothamsted,Rhopalosiphum padi,26,2005,18,365
438,Rothamsted,Rhopalosiphum padi,27,2005,18,365
439,Rothamsted,Rhopalosiphum padi,28,2005,82,365
440,Rothamsted,Rhopalosiphum padi,29,2005,22,365
441,Rothamsted,Rhopalosiphum padi,30,2005,13,365
442,Rothamsted,Rhopalosiphum padi,31,2005,6,365
443,Rothamsted,Rhopalosiphum padi,32,2005,18,365
444,Rothamsted,Rhopalosiphum padi,33,2005,31,365
445,Rothamsted,Rhopalosiphum padi,34,2005,5,365
446,Rothamsted,Rhopalosiphum padi,35,2005,83,365
447,Rothamsted,Rhopalosiphum padi,36,2005,56,365
448,Rothamsted,Rhopalosiphum padi,37,2005,35,365
449,Rothamsted,Rhopalosiphum padi,38,2005,40,365
450,Rothamsted,Rhopalosiphum padi,39,2005,37,365
451,Rothamsted,Rhopalosiphum padi,40,2005,205,365
452,Rothamsted,Rhopalosiphum padi,41,2005,246,365
453,Rothamsted,Rhopalosiphum padi,42,2005,136,365
454,Rothamsted,Rhopalosiphum padi,43,2005,53,365
455,Rothamsted,Rhopalosiphum padi,44,2005,50,365
456,Rothamsted,Rhopalosiphum padi,45,2005,4,365
457,Rothamsted,Rhopalosiphum padi,46,2005,1,365
458,Rothamsted,Rhopalosiphum padi,18,2006,1,365
459,Rothamsted,Rhopalosiphum padi,19,2006,4,365
460,Rothamsted,Rhopalosiphum padi,20,2006,2,365
461,Rothamsted,Rhopalosiphum padi,22,2006,5,365
462,Rothamsted,Rhopalosiphum padi,23,2006,3,365
463,Rothamsted,Rhopalosiphum padi,24,2006,5,365
464,Rothamsted,Rhopalosiphum padi,25,2006,3,365
